MEMBER_ID,SUBDOMAIN_ID,VALID_FROM,VALID_TO,ORDER
RFRNC_RT_22,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_25,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_44,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_43,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_86,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_81,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_88,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_92,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_95,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_50,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_38,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_57,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_59,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_36,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_31,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_74,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_73,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_12,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_15,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_69,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_60,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_67,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_46,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_29,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_41,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_20,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_27,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_48,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_84,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_83,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_90,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_97,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_99,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_34,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_33,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_52,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_55,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_14,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_13,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_72,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_75,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_66,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_61,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_68,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_82,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
