CUBE_STRUCTURE_ITEM_ID,CUBE_STRUCTURE_ID,CUBE_VARIABLE_CODE,VARIABLE_ID,ROLE,ORDER,SUBDOMAIN_ID,VARIABLE_SET_ID,MEMBER_ID,DIMENSION_TYPE,ATTRIBUTE_ASSOCIATED_VARIABLE,IS_FLOW,IS_MANDATORY,DESCRIPTION,IS_IMPLEMENTED
ANCRDT_ACCNTNG_C_1__NEVS_ACCMLTD_WRTFFS,ANCRDT_ACCNTNG_C_1,NEVS_ACCMLTD_WRTFFS,NEVS,A,117,NEVS_CLLCTN_WTHT_NA,,,,ACCMLTD_WRTFFS,false,false,,true
ANCRDT_INSTRMNT_C_1__NEVS_INTRST_RT_FLR,ANCRDT_INSTRMNT_C_1,NEVS_INTRST_RT_FLR,NEVS,A,121,NEVS_CLLCTN,,,,INTRST_RT_FLR,false,false,,true
ANCRDT_INSTRMNT_C_1__NEVS_TYP_INTRST_RT,ANCRDT_INSTRMNT_C_1,NEVS_TYP_INTRST_RT,NEVS,A,127,NEVS_CLLCTN,,,,TYP_INTRST_RT,false,false,,true
ANCRDT_PRTCTN_RCVD_C_1__PRTCTN_PRVDR_CD,ANCRDT_PRTCTN_RCVD_C_1,PRTCTN_PRVDR_CD,PRTCTN_PRVDR_CD,O,4,STRNG_RSTRCTD_ID_50,,,,,false,false,,true
ANCRDT_INSTRMNT_C_1__NEVS_CRRNCY_DNMNTN,ANCRDT_INSTRMNT_C_1,NEVS_CRRNCY_DNMNTN,NEVS,A,112,NEVS_CLLCTN_WTHT_NA,,,,CRRNCY_DNMNTN,false,false,,true
ANCRDT_INSTRMNT_C_1__DT_END_INTRST_ONLY,ANCRDT_INSTRMNT_C_1,DT_END_INTRST_ONLY,DT_END_INTRST_ONLY,O,10,DT_FLL_YYYY_MM_DD,,,,,false,false,"The date on which the interest-only period ends. Interest-only is an instrument for which, for a contractually set period, only the interest on the principal balance is paid, with the principal balance remaining unchanged.",true
ANCRDT_PRTCTN_RCVD_C_1__DT_MTRTY_PRTCTN,ANCRDT_PRTCTN_RCVD_C_1,DT_MTRTY_PRTCTN,DT_MTRTY_PRTCTN,O,14,DT_FLL_YYYY_MM_DD,,,,,false,false,"The contractual maturity date of the protection, which is the earliest date at which the protection may terminate or be terminated, taking into account any agreements amending initial contracts.",true
ANCRDT_PRTCTN_RCVD_C_1__RECL_TRRTRL_UNT,ANCRDT_PRTCTN_RCVD_C_1,RECL_TRRTRL_UNT,RECL_TRRTRL_UNT,O,11,NUTS3_ANCRDT_CLLCTN,,,,,false,false,Region where the collateral is located.,true
ANCRDT_PRTCTN_RCVD_C_1__NEVS_TYP_PRTCTN,ANCRDT_PRTCTN_RCVD_C_1,NEVS_TYP_PRTCTN,NEVS,A,116,NEVS_CLLCTN_WTHT_NA,,,,TYP_PRTCTN,false,false,,true
ANCRDT_ACCNTNG_C_1__PRVSNS_OFF_BLNC_SHT,ANCRDT_ACCNTNG_C_1,PRVSNS_OFF_BLNC_SHT,PRVSNS_OFF_BLNC_SHT,O,15,MNTRY_NN_NGTV_2D,,,,,false,false,The amount of provisions for off-balance-sheet amounts.,true
ANCRDT_ACCNTNG_C_1__NEVS_ACCMLTD_IMPRMNT,ANCRDT_ACCNTNG_C_1,NEVS_ACCMLTD_IMPRMNT,NEVS,A,116,NEVS_CLLCTN,,,,ACCMLTD_IMPRMNT,false,false,,true
ANCRDT_ACCNTNG_C_1__CMLTV_RCVRS_SNC_DFLT,ANCRDT_ACCNTNG_C_1,CMLTV_RCVRS_SNC_DFLT,CMLTV_RCVRS_SNC_DFLT,O,18,MNTRY_NN_NGTV_2D,,,,,false,false,The total amount recovered since the date of default.,true
ANCRDT_INSTRMNT_C_1__NEVS_INTRST_RT_SPRD,ANCRDT_INSTRMNT_C_1,NEVS_INTRST_RT_SPRD,NEVS,A,120,NEVS_CLLCTN,,,,INTRST_RT_SPRD,false,false,,true
ANCRDT_ENTTY_DFLT_C_1__NEVS_DT_DFLT_STTS,ANCRDT_ENTTY_DFLT_C_1,NEVS_DT_DFLT_STTS,NEVS,A,106,NEVS_CLLCTN,,,,DT_DFLT_STTS,false,false,,true
ANCRDT_INSTRMNT_C_1__NEVS_CMMTMNT_INCPTN,ANCRDT_INSTRMNT_C_1,NEVS_CMMTMNT_INCPTN,NEVS,A,114,NEVS_CLLCTN,,,,CMMTMNT_INCPTN,false,false,,true
ANCRDT_ENTTY_INSTRMNT_C_1__ENTTY_RIAD_CD,ANCRDT_ENTTY_INSTRMNT_C_1,ENTTY_RIAD_CD,ENTTY_RIAD_CD,D,3,STRNG_RSTRCTD_ID_50,,,B,,false,true,,true
